tool,input_size,cpu_core,cpu_mem_gb,gpu_sm,gpu_mem_gb,latency_ms
image_classification,small,2,4.0,20,2.0,150
image_classification,medium,4,8.0,40,4.0,350
image_classification,large,8,16.0,80,8.0,800
text_summarization,small,1,2.0,10,1.0,100
text_summarization,medium,2,4.0,20,2.0,250
text_summarization,large,4,8.0,40,4.0,600
video_transcoding,small,4,8.0,30,4.0,2000
video_transcoding,medium,8,16.0,60,8.0,5000
video_transcoding,large,16,32.0,100,16.0,12000
sentiment_analysis,small,1,1.0,5,0.5,50
sentiment_analysis,medium,2,2.0,10,1.0,120
sentiment_analysis,large,4,4.0,20,2.0,300
object_detection,small,2,4.0,25,3.0,200
object_detection,medium,4,8.0,50,6.0,450
object_detection,large,8,16.0,90,12.0,1000
machine_translation,small,2,3.0,15,1.5,180
machine_translation,medium,4,6.0,30,3.0,400
machine_translation,large,8,12.0,60,6.0,900
speech_recognition,small,2,4.0,20,2.0,300
speech_recognition,medium,4,8.0,40,4.0,700
speech_recognition,large,8,16.0,80,8.0,1500
data_preprocessing,small,1,2.0,0,0.0,100
data_preprocessing,medium,2,4.0,0,0.0,250
data_preprocessing,large,4,8.0,0,0.0,600
